Name,Lat1,Lon1,Lat2,Lon2
"C103,D865",34.913763,-118.787793,34.826237,-118.707665
"C107,C39",38.485606,-121.245072,38.168485,-121.010271
"C136,C138",33.796498,-116.281406,33.71505,-117.046669
"C141,C142",33.733596,-114.512402,33.331374,-114.700434
"C142,C143",33.331374,-114.700434,32.876277,-114.472921
"C143,Mexico",32.876277,-114.472921,32.713869,-114.724307
"C152,C156",32.696148,-115.283007,33.465816,-117.125257
"C161,HARMWD",34.434379,-118.060554,34.148633,-118.005872
"C161,WTP504",34.434379,-118.060554,33.92173358,-118.2598676
"C173,HSU207C173",38.597707,-121.263215,38.19387614,-121.1702198
"C173,WTP207",38.597707,-121.263215,38.42384445,-121.0637096
"C310,C323",37.883943,-121.632889,37.905885,-122.095726
"C323,C310",37.905885,-122.095726,37.883943,-121.632889
"C37,C38",38.315892,-121.371882,38.255915,-121.440063
"C39,PMP_Walnut",38.168485,-121.010271,37.927401,-122.072919
"C54,D608",36.652949,-120.180991,36.783784,-120.371568
"C70,C71",37.982252,-121.804568,38.01895,-121.925952
"C88,C78",37.811639,-120.304215,37.75930409,-122.1737202
"GW_SC,HGPSC",36.839633,-121.347721,36.83918,-121.371613
"D848,D849",35.470854,-120.353657,35.321507,-120.564469
"D849,WTP406",35.321507,-120.564469,35.28271128,-120.6651076
"HNP406,HXI406",35.27354445,-120.6763366,35.27904467,-120.6763366
"HP406,U406",35.27904467,-120.6673534,35.280878,-120.671845
"HXI406,EXT_SB_SLO",35.27904467,-120.6763366,35.27721131,-120.6763366
"INT_SB_SLO,WWP406",35.27721131,-120.6673534,35.27354445,-120.671845
"U406,HXI406",35.280878,-120.671845,35.27904467,-120.6763366
"U406,INT_SB_SLO",35.280878,-120.671845,35.27721131,-120.6673534
"WTP406,U406",35.28271128,-120.6651076,35.280878,-120.671845
"WWP406,HNP406",35.27354445,-120.671845,35.27354445,-120.6763366
"WWP406,HP406",35.27354445,-120.671845,35.27904467,-120.6673534
"C134,PMP_Iron",34.316624,-114.15866,34.147952,-115.122397
"C143,C149",32.876277,-114.472921,32.713952,-114.943412
"C146,SR_SS",33.669427,-116.14603,33.347441,-115.801168
"C147,SR_SS",33.634004,-116.277885,33.347441,-115.801168
"C149,C147",32.713952,-114.943412,33.634004,-116.277885
"C157,SR_SS",33.638206,-116.199088,33.347441,-115.801168
"GW_HF,HGPHF",33.691076,-115.641943,33.705204,-115.636046
"HARHF,GW_HF",33.691572,-115.627419,33.691076,-115.641943
"HGPHF,PMP_JH",33.705204,-115.636046,33.706821,-115.628523
"PMP_Eagle,PMP_JH",33.808229,-115.451612,33.706821,-115.628523
"PMP_JH,HARHF",33.706821,-115.628523,33.691572,-115.627419
"A507,HU507",33.66596535,-116.22455,33.662227,-116.22455
"AGS_COACH,HSD507",33.65848849,-116.2200584,33.66596535,-116.2155668
"HSU507C147,A507",33.65661918,-116.2155668,33.66596535,-116.22455
"HU507,AGG_COACH",33.662227,-116.22455,33.65848849,-116.2290416
"HU507,AGS_COACH",33.662227,-116.22455,33.65848849,-116.2200584
"AGG_COACH,HGRCH",33.65848849,-116.2290416,33.679436,-116.203366
"C136,C145",33.796498,-116.281406,33.695549,-116.160152
"C145,HARCH",33.695549,-116.160152,33.744428,-116.288204
"C146,C145",33.669427,-116.14603,33.695549,-116.160152
"C147,C158",33.634004,-116.277885,33.689005,-116.302679
"C147,HSU507C147",33.634004,-116.277885,33.65661918,-116.2155668
"C147,WTP507",33.634004,-116.277885,33.71684205,-116.2288076
"C157,WTPA507",33.638206,-116.199088,33.635576,-116.23285
"C158,HARCH",33.689005,-116.302679,33.744428,-116.288204
"EXT_COACH,HGRCH",33.71123778,-116.2400366,33.679436,-116.203366
"GW_CH,HGPCH",33.677938,-116.225385,33.677307,-116.245845
"HARCH,GW_CH",33.744428,-116.288204,33.677938,-116.225385
"HGPCH,A507",33.677307,-116.245845,33.66596535,-116.22455
"HGPCH,U507",33.677307,-116.245845,33.714974,-116.235545
"HGRCH,GW_CH",33.679436,-116.203366,33.677938,-116.225385
"HSD507,C157",33.66596535,-116.2155668,33.638206,-116.199088
"HNP507,HXI507",33.70750141,-116.2400366,33.71310591,-116.2400366
"HP507,U507",33.71310591,-116.2310534,33.714974,-116.235545
"HXI507,EXT_COACH",33.71310591,-116.2400366,33.71123778,-116.2400366
"INT_COACH,WWP507",33.71123778,-116.2310534,33.70750141,-116.235545
"U507,HXI507",33.714974,-116.235545,33.71310591,-116.2400366
"U507,INT_COACH",33.714974,-116.235545,33.71123778,-116.2310534
"WTP507,U507",33.71684205,-116.2288076,33.714974,-116.235545
"WWP507,HNP507",33.70750141,-116.235545,33.70750141,-116.2400366
"WWP507,HP507",33.70750141,-116.235545,33.71310591,-116.2310534
"WTPA507,C147",33.635576,-116.23285,33.634004,-116.277885
"WWP507,C145",33.70750141,-116.235545,33.695549,-116.160152
"WWP507,C158",33.70750141,-116.235545,33.689005,-116.302679
"A512,HU512",32.80163848,-114.547426,32.797863,-114.547426
"HSU512C143,A512",32.79219948,-114.5384428,32.80163848,-114.547426
"HU512,AgS_Bard",32.797863,-114.547426,32.79408736,-114.5429344
"A508,HU508",33.58058605,-114.674303,33.576844,-114.674303
"AGS_Palo,HSD508",33.57310179,-114.6698114,33.58058605,-114.6653198
"HSU508C141,A508",33.57123062,-114.6653198,33.58058605,-114.674303
"HU508,AGS_Palo",33.576844,-114.674303,33.57310179,-114.6698114
"C134,C141",34.316624,-114.15866,33.733596,-114.512402
"C141,HSU508C141",33.733596,-114.512402,33.57123062,-114.6653198
"C141,WTP508",33.733596,-114.512402,33.6131313,-114.5866136
"C143,HSU512C143",32.876277,-114.472921,32.79219948,-114.5384428
"SR_CR1,C141",34.317015,-114.156781,33.733596,-114.512402
"SR_CR2,C143",34.317015,-114.156781,32.876277,-114.472921
