ResourceTypeAcronym,InstanceName,ScenarioName,ObjectTypeCV,AttributeNameCV,AttributeName_Abstract,UnitName,SeasonName,SeasonOrder,SeasonNumericValue
WEAP,Bear River Canal Company,USU WEAP Model 2017,Demand site,Demand,Monthly Demand,AF,Oct,1,221.176
WEAP,Bear River Canal Company,USU WEAP Model 2017,Demand site,Demand,Monthly Demand,AF,Nov,2,60.63749
WEAP,Bear River Canal Company,USU WEAP Model 2017,Demand site,Demand,Monthly Demand,AF,Dec,3,20.68512
WEAP,Bear River Canal Company,USU WEAP Model 2017,Demand site,Demand,Monthly Demand,AF,Jan,4,16.92178
WEAP,Bear River Canal Company,USU WEAP Model 2017,Demand site,Demand,Monthly Demand,AF,Feb,5,10.42869
WEAP,Bear River Canal Company,USU WEAP Model 2017,Demand site,Demand,Monthly Demand,AF,Mar,6,3.948858
WEAP,Bear River Canal Company,USU WEAP Model 2017,Demand site,Demand,Monthly Demand,AF,Apr,7,33.71105
WEAP,Bear River Canal Company,USU WEAP Model 2017,Demand site,Demand,Monthly Demand,AF,May,8,456.4773
WEAP,Bear River Canal Company,USU WEAP Model 2017,Demand site,Demand,Monthly Demand,AF,Jun,9,608.9324
WEAP,Bear River Canal Company,USU WEAP Model 2017,Demand site,Demand,Monthly Demand,AF,Jul,10,675.3607
WEAP,Bear River Canal Company,USU WEAP Model 2017,Demand site,Demand,Monthly Demand,AF,Aug,11,633.501
WEAP,Bear River Canal Company,USU WEAP Model 2017,Demand site,Demand,Monthly Demand,AF,Sep,12,470.9079
WEAP,Highline Canal,USU WEAP Model 2017,Demand site,Demand,Monthly Demand,AF,Oct,1,208.23
WEAP,Highline Canal,USU WEAP Model 2017,Demand site,Demand,Monthly Demand,AF,Nov,2,0
WEAP,Highline Canal,USU WEAP Model 2017,Demand site,Demand,Monthly Demand,AF,Dec,3,0
WEAP,Highline Canal,USU WEAP Model 2017,Demand site,Demand,Monthly Demand,AF,Jan,4,0
WEAP,Highline Canal,USU WEAP Model 2017,Demand site,Demand,Monthly Demand,AF,Feb,5,0
WEAP,Highline Canal,USU WEAP Model 2017,Demand site,Demand,Monthly Demand,AF,Mar,6,0
WEAP,Highline Canal,USU WEAP Model 2017,Demand site,Demand,Monthly Demand,AF,Apr,7,189.57
WEAP,Highline Canal,USU WEAP Model 2017,Demand site,Demand,Monthly Demand,AF,May,8,1194.38
WEAP,Highline Canal,USU WEAP Model 2017,Demand site,Demand,Monthly Demand,AF,Jun,9,2284.59
WEAP,Highline Canal,USU WEAP Model 2017,Demand site,Demand,Monthly Demand,AF,Jul,10,2636
WEAP,Highline Canal,USU WEAP Model 2017,Demand site,Demand,Monthly Demand,AF,Aug,11,2384.45
WEAP,Highline Canal,USU WEAP Model 2017,Demand site,Demand,Monthly Demand,AF,Sep,12,1173.18
WEAP,Hyrum Canal,USU WEAP Model 2017,Demand site,Demand,Monthly Demand,AF,Oct,1,257.3597
WEAP,Hyrum Canal,USU WEAP Model 2017,Demand site,Demand,Monthly Demand,AF,Nov,2,0
WEAP,Hyrum Canal,USU WEAP Model 2017,Demand site,Demand,Monthly Demand,AF,Dec,3,0
WEAP,Hyrum Canal,USU WEAP Model 2017,Demand site,Demand,Monthly Demand,AF,Jan,4,0
WEAP,Hyrum Canal,USU WEAP Model 2017,Demand site,Demand,Monthly Demand,AF,Feb,5,0
WEAP,Hyrum Canal,USU WEAP Model 2017,Demand site,Demand,Monthly Demand,AF,Mar,6,0
WEAP,Hyrum Canal,USU WEAP Model 2017,Demand site,Demand,Monthly Demand,AF,Apr,7,0
WEAP,Hyrum Canal,USU WEAP Model 2017,Demand site,Demand,Monthly Demand,AF,May,8,1698.8699
WEAP,Hyrum Canal,USU WEAP Model 2017,Demand site,Demand,Monthly Demand,AF,Jun,9,1973.315
