Name,Type,Latitude,Longitude
C142,Junction,33.331374,-114.700434
D714,Junction,37.039902,-121.267861
GW_SC,Groundwater Storage,36.839633,-121.347721
HGPSC,Junction,36.83918,-121.371613
D848,Junction,35.470854,-120.353657
D849,Junction,35.321507,-120.564469
EXT_SB_SLO,Urban Demand,35.2772113066162,-120.676336576421
HNP406,Junction,35.2735444472212,-120.676336576421
HP406,Junction,35.2790446740599,-120.667353423579
HXI406,Junction,35.2790446740599,-120.676336576421
INT_SB_SLO,Urban Demand,35.2772113066162,-120.667353423579
U406,Junction,35.280878,-120.671845
WTP406,Water Treatment,35.2827112844354,-120.665107635369
WWP406,Junction,35.2735444472212,-120.671845
GW_HF,Groundwater Storage,33.691076,-115.641943
HARHF,Junction,33.691572,-115.627419
HGPHF,Junction,33.705204,-115.636046
PMP_Eagle,Pump Plant,33.808229,-115.451612
PMP_JH,Pump Plant,33.706821,-115.628523
A507,Junction,33.6659653464489,-116.22455
AGG_COACH,Agricultural Demand,33.6584884911059,-116.229041576421
AGS_COACH,Junction,33.6584884911059,-116.220058423579
HSD507,Junction,33.6659653464489,-116.215566847159
HSU507C147,Junction,33.6566191757447,-116.215566847159
HU507,Junction,33.6622270000001,-116.22455
C136,Junction,33.796498,-116.281406
C145,Junction,33.695549,-116.160152
C146,Junction,33.669427,-116.14603
C147,Junction,33.634004,-116.277885
C157,Junction,33.638206,-116.199088
C158,Junction,33.689005,-116.302679
GW_CH,Groundwater Storage,33.677938,-116.225385
HARCH,Junction,33.744428,-116.288204
HGPCH,Junction,33.677307,-116.245845
HGRCH,Junction,33.679436,-116.203366
EXT_COACH,Urban Demand,33.7112377846323,-116.240036576421
HNP507,Junction,33.7075014067036,-116.240036576421
HP507,Junction,33.7131059126369,-116.231053423579
HXI507,Junction,33.7131059126368,-116.240036576421
INT_COACH,Urban Demand,33.7112377846323,-116.231053423579
U507,Junction,33.714974,-116.235545
WTP507,Water Treatment,33.7168420467207,-116.228807635369
WWP507,Water Treatment,33.7075014067036,-116.235545
WTPA507,Water Treatment,33.635576,-116.23285
A512,Junction,32.8016384797201,-114.547426
AgS_Bard,Agricultural Demand,32.7940873599561,-114.542934423579
HSU512C143,Junction,32.7921994798158,-114.538442847159
HU512,Junction,32.797863,-114.547426
A508,Junction,33.5805860525285,-114.674303
AGS_Palo,Agricultural Demand,33.5731017852293,-114.669811423579
HSD508,Junction,33.5805860525284,-114.665319847159
HSU508C141,Junction,33.571230617006,-114.665319847159
HU508,Junction,33.576844,-114.674303
C134,Junction,34.316624,-114.15866
C141,Junction,33.733596,-114.512402
C143,Junction,32.876277,-114.472921
SR_CR1,Surface Storage,34.317015,-114.156781
SR_CR2,Surface Storage,34.317015,-114.156781
SR_CR3,Surface Storage,34.317015,-114.156781
EXT_Blythe,Urban Demand,33.6075202780303,-114.597842576421
HNP508,Junction,33.6037793937453,-114.597842576421
HP508,Junction,33.6093906593051,-114.588859423579
HXI508,Junction,33.6093906593051,-114.597842576421
INT_Blythe,Urban Demand,33.6075202780303,-114.588859423579
U508,Junction,33.611261,-114.593351
WTP508,Water Treatment,33.6131313001138,-114.586613635369
WWP508,Water Treatment,33.6037793937453,-114.593351
