ObjectType,ObjectCategoryName,ObjectTypeCV ,AttributeName,AttributeCategoryName,AttributeNameCV 
"Demand Site","Demand Sites and Catchments","Demand site","Annual Water Use Rate","Water Use","Flow"
"Demand Site","Demand Sites and Catchments","Demand site","BOD Concentration","Water Quality","Concentration"
"Demand Site","Demand Sites and Catchments","Demand site","BOD Inflow","Water Quality","Concentration"
"Demand Site","Demand Sites and Catchments","Demand site","BOD Intensity","Water Quality","Concentration"
"Demand Site","Demand Sites and Catchments","Demand site","Capital Costs","Cost","Cost"
"Demand Site","Demand Sites and Catchments","Demand site","Consumption","Water Use",
"Demand Site","Demand Sites and Catchments","Demand site","DO Concentration","Water Quality","Concentration"
"Demand Site","Demand Sites and Catchments","Demand site","DO Inflow","Water Quality","Concentration"
"Demand Site","Demand Sites and Catchments","Demand site","DO Intensity","Water Quality","Concentration"
"Demand Site","Demand Sites and Catchments","Demand site","Demand Priority","Priority","Priority"
"Demand Site","Demand Sites and Catchments","Demand site","Fixed Benefits","Cost","Cost"
"Demand Site","Demand Sites and Catchments","Demand site","Fixed Operating Costs","Cost","Cost"
"Demand Site","Demand Sites and Catchments","Demand site","Loss Rate","Loss and Reuse",
"Demand Site","Demand Sites and Catchments","Demand site","Monthly Demand","Water Use","Flow"
"Demand Site","Demand Sites and Catchments","Demand site","Monthly DemandS","Water Use","Flow"
"Demand Site","Demand Sites and Catchments","Demand site","Monthly Variation","Water Use",
"Demand Site","Demand Sites and Catchments","Demand site","Variable Benefits","Cost","Cost"
"Demand Site","Demand Sites and Catchments","Demand site","Variable Operating Costs","Cost","Cost"
"Flow requirement","Supply and Resources","Demand site","Capital Costs","Cost","Cost"
"Flow requirement","Supply and Resources","Demand site","Fixed Benefits","Cost","Cost"
"Flow requirement","Supply and Resources","Demand site","Fixed Operating Costs","Cost","Cost"
"Flow requirement","Supply and Resources","Demand site","Minimum Flow Requirement","Water Use","Flow"
"Flow requirement","Supply and Resources","Demand site","Priority","Water Use","Priority"
"Flow requirement","Supply and Resources","Demand site","Variable Benefits","Cost","Cost"
"Flow requirement","Supply and Resources","Demand site","Variable Operating Costs","Cost","Cost"
"Groundwater","Supply and Resources","Groundwater","BOD Concentration","Water Quality","Concentration"
"Groundwater","Supply and Resources","Groundwater","Capital Costs","Cost","Cost"
"Groundwater","Supply and Resources","Groundwater","DO Concentration","Water Quality","Concentration"
"Groundwater","Supply and Resources","Groundwater","Fixed Benefits","Cost","Cost"
"Groundwater","Supply and Resources","Groundwater","Fixed Operating Costs","Cost","Cost"
"Groundwater","Supply and Resources","Groundwater","Initial Storage","Physical","Volume"
"Groundwater","Supply and Resources","Groundwater","Maximum Withdrawal","Physical","Volume"
"Groundwater","Supply and Resources","Groundwater","Natural Recharge","Physical","Volume"
"Groundwater","Supply and Resources","Groundwater","Storage Capacity","Physical","Volume"
"Groundwater","Supply and Resources","Groundwater","Variable Benefits","Cost","Cost"
"Groundwater","Supply and Resources","Groundwater","Variable Operating Costs","Cost","Cost"
"Reservoir","Supply and Resources","Reservoir","Buffer Coefficient","Operation","Coefficient"
"Reservoir","Supply and Resources","Reservoir","Capital Costs","Cost","Cost"
"Reservoir","Supply and Resources","Reservoir","DO Concentration","Water Quality","Concentration"
