WASHObjectType ,ObjectTypeCV,ObjectType,DatasetAcronym, WASHAttributeName,AttributeNameCV,AttributeName
"dem","Demand site","Canal/diversion","BearRiverCommission","dReq","Flow","DAILY DISCHARGE IN CFS OF BEAR RIVER CANALS "
"dem","Demand site","Canal/diversion","BearRiverCommission","dReq","Flow","MONTHLY DISCHARGE IN CFS OF BEAR RIVER CANALS "
"v","Reservoir","Dam","UtahDams","RA_par","Reservoir bathymetry curve","Stage-Area-Capacity"
"v","Reservoir","Reservoir","WEAP","evap","Evaporation","Net Evaporation"
"v","Reservoir","Dam","US Major Dams","initSTOR","Volume","MAX_STOR"
"v","Reservoir","Dam","US Major Dams","initSTOR","Volume","NORMAL_STO"
"v","Reservoir","Dam","UtahDams","initSTOR","Volume","Capacity"
"v","Reservoir","Dam","UtahDams","initSTOR","Volume","InitCap"
"v","Reservoir","Dam","UtahDams","initSTOR","Volume","MaxCap"
"v","Reservoir","Dam","UtahDams","initSTOR","Volume","MinCap"
"v","Reservoir","Dam","UtahDams","initSTOR","Volume","STORG_ACFT"
"v","Reservoir","Reservoir","WEAP","initSTOR","Volume","Storage Capacity"
"v","Reservoir","Dam","US Major Dams","maxstor","Volume","MAX_STOR"
"v","Reservoir","Dam","US Major Dams","maxstor","Volume","NORMAL_STO"
"v","Reservoir","Dam","UtahDams","maxstor","Volume","Capacity"
"v","Reservoir","Dam","UtahDams","maxstor","Volume","InitCap"
"v","Reservoir","Dam","UtahDams","maxstor","Volume","MaxCap"
"v","Reservoir","Dam","UtahDams","maxstor","Volume","MinCap"
"v","Reservoir","Dam","UtahDams","maxstor","Volume","STORG_ACFT"
"v","Reservoir","Reservoir","WEAP","maxstor","Volume","Storage Capacity"
"v","Reservoir","Dam","US Major Dams","minstor","Volume","MAX_STOR"
"v","Reservoir","Dam","US Major Dams","minstor","Volume","NORMAL_STO"
"v","Reservoir","Dam","UtahDams","minstor","Volume","Capacity"
"v","Reservoir","Dam","UtahDams","minstor","Volume","InitCap"
"v","Reservoir","Dam","UtahDams","minstor","Volume","MaxCap"
"v","Reservoir","Dam","UtahDams","minstor","Volume","MinCap"
"v","Reservoir","Dam","UtahDams","minstor","Volume","STORG_ACFT"
"v","Reservoir","Reservoir","WEAP","minstor","Volume","Storage Capacity"
