DatasetName,ObjectType,ObjectTypeCV,InstanceName,InstanceNameCV,"AttributeName",AttributeNameCV,AttributeDataTypeCV,"UnitNameCV",ScenarioName,"NumericValue","DatasetName"
"US Major Dams","Dam","Reservoir","HYRUM","Hyrum Reservoir","NORMAL_STO","Volume","NumericValues","acre foot","US Dams As-Is","14440","US Major Dams"
"US Major Dams","Dam","Reservoir","HYRUM","Hyrum Reservoir","MAX_STOR","Volume","NumericValues","acre foot","US Dams As-Is","14440","US Major Dams"
"Utah Dams","Dam","Reservoir","Hyrum Reservoir","Hyrum Reservoir","Capacity","Volume","AttributeSeries","acre foot","Utah Dams shapefile_as is",,"Utah Dams"
"Utah Dams","Dam","Reservoir","Hyrum Reservoir","Hyrum Reservoir","STORG_ACFT","Volume","NumericValues","acre foot","Utah Dams shapefile_as is","18800","Utah Dams"
"Utah Dams","Dam","Reservoir","Hyrum Reservoir","Hyrum Reservoir","MinCap","Volume","NumericValues","acre foot","Utah Dams shapefile_as is","0","Utah Dams"
"Utah Dams","Dam","Reservoir","Hyrum Reservoir","Hyrum Reservoir","MaxCap","Volume","NumericValues","acre foot","Utah Dams shapefile_as is","15760","Utah Dams"
"Utah Dams","Dam","Reservoir","Hyrum Reservoir","Hyrum Reservoir","InitCap","Volume","NumericValues","acre foot","Utah Dams shapefile_as is","0","Utah Dams"
"Water Evaluation And Planning","Reservoir","Reservoir","Hyrum Reservoir","Hyrum Reservoir","Volume-Curve","Volume","AttributeSeries","acre foot","UDWR GenRes 2010",,"Water Evaluation And Planning"
"Water Evaluation And Planning","Reservoir","Reservoir","Hyrum Reservoir","Hyrum Reservoir","Volume-Curve","Volume","AttributeSeries","acre foot","USU WEAP Model 2017",,"Water Evaluation And Planning"
"Water Evaluation And Planning","Reservoir","Reservoir","Hyrum Reservoir","Hyrum Reservoir","Storage Capacity","Volume","NumericValues","acre foot","UDWR GenRes 2010","18684","Water Evaluation And Planning"
"Water Evaluation And Planning","Reservoir","Reservoir","Hyrum Reservoir","Hyrum Reservoir","Storage Capacity","Volume","NumericValues","acre foot","USU WEAP Model 2017","18684","Water Evaluation And Planning"
"Watershed Area of Suitable Habitat (WASH) Systems Model","v","Reservoir","j29","Hyrum Reservoir","minstor","Volume","NumericValues","Million cubic meter","5yr","4.2","Watershed Area of Suitable Habitat (WASH) Systems Model"
"Watershed Area of Suitable Habitat (WASH) Systems Model","v","Reservoir","j29","Hyrum Reservoir","maxstor","Volume","NumericValues","Million cubic meter","5yr","23.04634","Watershed Area of Suitable Habitat (WASH) Systems Model"
"Watershed Area of Suitable Habitat (WASH) Systems Model","v","Reservoir","j29","Hyrum Reservoir","initSTOR","Volume","NumericValues","Million cubic meter","5yr","10","Watershed Area of Suitable Habitat (WASH) Systems Model"
