WEAPObjectType ,ObjectTypeCV,ObjectType,DatasetAcronym,WEAPAttributeName,AttributeNameCV,AttributeName
"Demand Site","Demand site","AGRICULTURAL IRRIGATION","WaDEData","Annual Water Use Rate","Flow","Water Use /surface"
"Demand Site","Demand site","Canal/diversion","BearRiverCommission","Annual Water Use Rate","Flow","DAILY DISCHARGE IN CFS OF BEAR RIVER CANALS "
"Demand Site","Demand site","Canal/diversion","BearRiverCommission","Annual Water Use Rate","Flow","MONTHLY DISCHARGE IN CFS OF BEAR RIVER CANALS "
"Demand Site","Demand site","INDUSTRIAL","WaDEData","Annual Water Use Rate","Flow","Water Use /surface"
"Demand Site","Demand site","MUNICIPAL/DOMESTIC/STOCK","WaDEData","Annual Water Use Rate","Flow","Water Use /ground"
"Demand Site","Demand site","MUNICIPAL/DOMESTIC/STOCK","WaDEData","Annual Water Use Rate","Flow","Water Use /surface"
"Demand Site","Demand site","Node","BearRiverWyoming","Annual Water Use Rate","Flow","Historic Diversion outflow"
"Demand Site","Demand site","Node","BearRiverWyoming","Annual Water Use Rate","Flow","Import/Export net inflow"
"Demand Site","Demand site","AGRICULTURAL IRRIGATION","WaDEData","Monthly Demand","Flow","Water Use /surface"
"Demand Site","Demand site","Canal/diversion","BearRiverCommission","Monthly Demand","Flow","DAILY DISCHARGE IN CFS OF BEAR RIVER CANALS "
"Demand Site","Demand site","Canal/diversion","BearRiverCommission","Monthly Demand","Flow","MONTHLY DISCHARGE IN CFS OF BEAR RIVER CANALS "
"Demand Site","Demand site","INDUSTRIAL","WaDEData","Monthly Demand","Flow","Water Use /surface"
"Demand Site","Demand site","MUNICIPAL/DOMESTIC/STOCK","WaDEData","Monthly Demand","Flow","Water Use /ground"
"Demand Site","Demand site","MUNICIPAL/DOMESTIC/STOCK","WaDEData","Monthly Demand","Flow","Water Use /surface"
"Demand Site","Demand site","Node","BearRiverWyoming","Monthly Demand","Flow","Historic Diversion outflow"
"Demand Site","Demand site","Node","BearRiverWyoming","Monthly Demand","Flow","Import/Export net inflow"
"Demand Site","Demand site","AGRICULTURAL IRRIGATION","WaDEData","Monthly DemandS","Flow","Water Use /surface"
"Demand Site","Demand site","Canal/diversion","BearRiverCommission","Monthly DemandS","Flow","DAILY DISCHARGE IN CFS OF BEAR RIVER CANALS "
"Demand Site","Demand site","Canal/diversion","BearRiverCommission","Monthly DemandS","Flow","MONTHLY DISCHARGE IN CFS OF BEAR RIVER CANALS "
"Demand Site","Demand site","INDUSTRIAL","WaDEData","Monthly DemandS","Flow","Water Use /surface"
"Demand Site","Demand site","MUNICIPAL/DOMESTIC/STOCK","WaDEData","Monthly DemandS","Flow","Water Use /ground"
"Demand Site","Demand site","MUNICIPAL/DOMESTIC/STOCK","WaDEData","Monthly DemandS","Flow","Water Use /surface"
"Demand Site","Demand site","Node","BearRiverWyoming","Monthly DemandS","Flow","Historic Diversion outflow"
"Demand Site","Demand site","Node","BearRiverWyoming","Monthly DemandS","Flow","Import/Export net inflow"
"Flow requirement","Demand site","AGRICULTURAL IRRIGATION","WaDEData","Minimum Flow Requirement","Flow","Water Use /surface"
"Flow requirement","Demand site","Canal/diversion","BearRiverCommission","Minimum Flow Requirement","Flow","DAILY DISCHARGE IN CFS OF BEAR RIVER CANALS "
"Flow requirement","Demand site","Canal/diversion","BearRiverCommission","Minimum Flow Requirement","Flow","MONTHLY DISCHARGE IN CFS OF BEAR RIVER CANALS "
"Flow requirement","Demand site","INDUSTRIAL","WaDEData","Minimum Flow Requirement","Flow","Water Use /surface"
"Flow requirement","Demand site","MUNICIPAL/DOMESTIC/STOCK","WaDEData","Minimum Flow Requirement","Flow","Water Use /ground"
"Flow requirement","Demand site","MUNICIPAL/DOMESTIC/STOCK","WaDEData","Minimum Flow Requirement","Flow","Water Use /surface"
"Flow requirement","Demand site","Node","BearRiverWyoming","Minimum Flow Requirement","Flow","Historic Diversion outflow"
"Flow requirement","Demand site","Node","BearRiverWyoming","Minimum Flow Requirement","Flow","Import/Export net inflow"
"Reservoir","Reservoir","Dam","US Major Dams","Elevation-Curve","Elevation","NID_HEIGHT"
"Reservoir","Reservoir","Dam","UtahDams","Elevation-Curve","Elevation","ELEVATION"
"Reservoir","Reservoir","Dam","UtahDams","Elevation-Curve","Elevation","Stage"
"Reservoir","Reservoir","Reservoir","WEAP","Hydropower Priority","Priority","Priority"
"Reservoir","Reservoir","Dam","US Major Dams","Initial Storage","Volume","MAX_STOR"
"Reservoir","Reservoir","Dam","US Major Dams","Initial Storage","Volume","NORMAL_STO"
"Reservoir","Reservoir","Dam","UtahDams","Initial Storage","Volume","Capacity"
"Reservoir","Reservoir","Dam","UtahDams","Initial Storage","Volume","InitCap"
"Reservoir","Reservoir","Dam","UtahDams","Initial Storage","Volume","MaxCap"
"Reservoir","Reservoir","Dam","UtahDams","Initial Storage","Volume","MinCap"
"Reservoir","Reservoir","Dam","UtahDams","Initial Storage","Volume","STORG_ACFT"
"Reservoir","Reservoir","Reservoir","WEAP","Initial Storage","Volume","Storage Capacity"
"Reservoir","Reservoir","Reservoir Node","BearRiverWyoming","Initial Storage","Volume","Inactive Storage Pool"
"Reservoir","Reservoir","Reservoir Node","BearRiverWyoming","Initial Storage","Volume","Max Storage Capacity"
"Reservoir","Reservoir","Reservoir Node","BearRiverWyoming","Initial Storage","Volume","Starting End-of-Month Contents"
"Reservoir","Reservoir","Dam","US Major Dams","Loss to Groundwater","Volume","MAX_STOR"
"Reservoir","Reservoir","Dam","US Major Dams","Loss to Groundwater","Volume","NORMAL_STO"
"Reservoir","Reservoir","Dam","UtahDams","Loss to Groundwater","Volume","Capacity"
"Reservoir","Reservoir","Dam","UtahDams","Loss to Groundwater","Volume","InitCap"
"Reservoir","Reservoir","Dam","UtahDams","Loss to Groundwater","Volume","MaxCap"
"Reservoir","Reservoir","Dam","UtahDams","Loss to Groundwater","Volume","MinCap"
"Reservoir","Reservoir","Dam","UtahDams","Loss to Groundwater","Volume","STORG_ACFT"
"Reservoir","Reservoir","Reservoir","WEAP","Loss to Groundwater","Volume","Storage Capacity"
