DatasetAcronym,ScenarioName,AttributeName,AttributeCategoryName, AggregationStatisticCV,IntervalTimeUnitCV,UnitNameCV,UnitName,WaterYear,CumulativeAnnual,NumDemandSites,CountValues
"WASH","5yr","dReq",,"Cumulative","month","Million cubic meter per month","Million cubic meter per month","2004","26710.574269368753","5","60"
"WASH","5yr","dReq",,"Cumulative","month","Million cubic meter per month","Million cubic meter per month","2005","25803.978409784377","5","60"
"WASH","5yr","dReq",,"Cumulative","month","Million cubic meter per month","Million cubic meter per month","2006","32665.784772179362","5","60"
"WASH","5yr","dReq",,"Cumulative","month","Million cubic meter per month","Million cubic meter per month","2007","28218.15430648863","5","60"
"WASH","5yr","dReq",,"Cumulative","month","Million cubic meter per month","Million cubic meter per month","2008","27096.596192717647","5","60"
"WASH","5yr","dReq",,"Cumulative","month","Million cubic meter per month","Million cubic meter per month","2009","28246.32044755699","5","60"
"WASH","5yr","dReq",,"Cumulative","month","Million cubic meter per month","Million cubic meter per month","2010","27982.21779014161","5","60"
"WEAP","UDWR GenRes 2010","Monthly Demand","Water Use","Cumulative","month","acre foot","acre foot","1967","23803","1","12"
"WEAP","UDWR GenRes 2010","Monthly Demand","Water Use","Cumulative","month","acre foot","acre foot","1968","20138","1","12"
"WEAP","UDWR GenRes 2010","Monthly Demand","Water Use","Cumulative","month","acre foot","acre foot","1969","22667","1","12"
"WEAP","UDWR GenRes 2010","Monthly Demand","Water Use","Cumulative","month","acre foot","acre foot","1970","22581","1","12"
"WEAP","UDWR GenRes 2010","Monthly Demand","Water Use","Cumulative","month","acre foot","acre foot","1971","19505","1","12"
"WEAP","UDWR GenRes 2010","Monthly Demand","Water Use","Cumulative","month","acre foot","acre foot","1972","19855","1","12"
"WEAP","UDWR GenRes 2010","Monthly Demand","Water Use","Cumulative","month","acre foot","acre foot","1973","25759","1","12"
"WEAP","UDWR GenRes 2010","Monthly Demand","Water Use","Cumulative","month","acre foot","acre foot","1974","21138","1","12"
"WEAP","UDWR GenRes 2010","Monthly Demand","Water Use","Cumulative","month","acre foot","acre foot","1975","27492","1","12"
"WEAP","UDWR GenRes 2010","Monthly Demand","Water Use","Cumulative","month","acre foot","acre foot","1976","23830","1","12"
"WEAP","UDWR GenRes 2010","Monthly Demand","Water Use","Cumulative","month","acre foot","acre foot","1977","20989","1","12"
"WEAP","UDWR GenRes 2010","Monthly Demand","Water Use","Cumulative","month","acre foot","acre foot","1978","20153","1","12"
"WEAP","UDWR GenRes 2010","Monthly Demand","Water Use","Cumulative","month","acre foot","acre foot","1979","28292","1","12"
"WEAP","UDWR GenRes 2010","Monthly Demand","Water Use","Cumulative","month","acre foot","acre foot","1980","25194","1","12"
"WEAP","UDWR GenRes 2010","Monthly Demand","Water Use","Cumulative","month","acre foot","acre foot","1981","22340","1","12"
"WEAP","UDWR GenRes 2010","Monthly Demand","Water Use","Cumulative","month","acre foot","acre foot","1982","23685","1","12"
"WEAP","UDWR GenRes 2010","Monthly Demand","Water Use","Cumulative","month","acre foot","acre foot","1983","26725","1","12"
"WEAP","UDWR GenRes 2010","Monthly Demand","Water Use","Cumulative","month","acre foot","acre foot","1984","17175","1","12"
"WEAP","UDWR GenRes 2010","Monthly Demand","Water Use","Cumulative","month","acre foot","acre foot","1985","22658","1","12"
"WEAP","UDWR GenRes 2010","Monthly Demand","Water Use","Cumulative","month","acre foot","acre foot","1986","20694","1","12"
"WEAP","UDWR GenRes 2010","Monthly Demand","Water Use","Cumulative","month","acre foot","acre foot","1987","27106","1","12"
"WEAP","UDWR GenRes 2010","Monthly Demand","Water Use","Cumulative","month","acre foot","acre foot","1988","19103","1","12"
"WEAP","UDWR GenRes 2010","Monthly Demand","Water Use","Cumulative","month","acre foot","acre foot","1989","18667","1","12"
"WEAP","UDWR GenRes 2010","Monthly Demand","Water Use","Cumulative","month","acre foot","acre foot","1990","19889","1","12"
"WEAP","UDWR GenRes 2010","Monthly Demand","Water Use","Cumulative","month","acre foot","acre foot","1991","18350","1","12"
"WEAP","UDWR GenRes 2010","Monthly Demand","Water Use","Cumulative","month","acre foot","acre foot","1992","14716","1","12"
"WEAP","UDWR GenRes 2010","Monthly Demand","Water Use","Cumulative","month","acre foot","acre foot","1993","16033","1","12"
"WEAP","UDWR GenRes 2010","Monthly Demand","Water Use","Cumulative","month","acre foot","acre foot","1994","17175","1","12"
"WEAP","UDWR GenRes 2010","Monthly Demand","Water Use","Cumulative","month","acre foot","acre foot","1995","16267","1","12"
"WEAP","UDWR GenRes 2010","Monthly Demand","Water Use","Cumulative","month","acre foot","acre foot","1996","14622","1","12"
"WEAP","UDWR GenRes 2010","Monthly Demand","Water Use","Cumulative","month","acre foot","acre foot","1997","15945","1","12"
"WEAP","UDWR GenRes 2010","Monthly Demand","Water Use","Cumulative","month","acre foot","acre foot","1998","17226","1","12"
"WEAP","UDWR GenRes 2010","Monthly Demand","Water Use","Cumulative","month","acre foot","acre foot","1999","11587","1","12"
"WEAP","UDWR GenRes 2010","Monthly Demand","Water Use","Cumulative","month","acre foot","acre foot","2000","17546","1","12"
"WEAP","UDWR GenRes 2010","Monthly Demand","Water Use","Cumulative","month","acre foot","acre foot","2001","15268","1","12"
"WEAP","UDWR GenRes 2010","Monthly Demand","Water Use","Cumulative","month","acre foot","acre foot","2002","20571","1","12"
"WEAP","UDWR GenRes 2010","Monthly Demand","Water Use","Cumulative","month","acre foot","acre foot","2003","19399","1","12"
"WEAP","UDWR GenRes 2010","Monthly Demand","Water Use","Cumulative","month","acre foot","acre foot","2004","17665","1","12"
"WEAP","UDWR GenRes 2010","Monthly Demand","Water Use","Cumulative","month","acre foot","acre foot","2005","17423","1","12"
"WEAP","UDWR GenRes 2010","Monthly Demand","Water Use","Cumulative","month","acre foot","acre foot","2006","21122","1","12"
"WEAP","UDWR GenRes 2010","Monthly Demand","Water Use","Cumulative","month","acre foot","acre foot","2007","19713","1","12"
"WaDEData","Utah Data","Diversions /surface water","Surface Water","Cumulative","Year","acre foot","acre-feet/year","2005","184440.67","1","1"
"WaDEData","Utah Data","Diversions /surface water","Surface Water","Cumulative","Year","acre foot","acre-feet/year","2006","225836.47","1","1"
"WaDEData","Utah Data","Diversions /surface water","Surface Water","Cumulative","Year","acre foot","acre-feet/year","2007","253368.95","1","1"
"WaDEData","Utah Data","Diversions /surface water","Surface Water","Cumulative","Year","acre foot","acre-feet/year","2008","235793.79","1","1"
"WaDEData","Utah Data","Diversions /surface water","Surface Water","Cumulative","Year","acre foot","acre-feet/year","2009","184235.41","1","1"
"WaDEData","Utah Data","Diversions /surface water","Surface Water","Cumulative","Year","acre foot","acre-feet/year","2010","206147.68","1","1"
"WaDEData","Utah Data","Diversions /surface water","Surface Water","Cumulative","Year","acre foot","acre-feet/year","2011","164987.12","1","1"
"WaDEData","Utah Data","Diversions /surface water","Surface Water","Cumulative","Year","acre foot","acre-feet/year","2012","242353.64","1","1"
"WaDEData","Utah Data","Diversions /surface water","Surface Water","Cumulative","Year","acre foot","acre-feet/year","2013","256430.21","1","1"
"WaDEData","Utah Data","Diversions /surface water","Surface Water","Cumulative","Year","acre foot","acre-feet/year","2014","195434.07","1","1"
"WaDEData","Utah Data","Water Use /surface and ground","Surface Water","Cumulative","Year","acre foot","acre-feet/year","2005","112832.34","1","1"
"WaDEData","Utah Data","Water Use /surface and ground","Surface Water","Cumulative","Year","acre foot","acre-feet/year","2006","137572.66","1","1"
"WaDEData","Utah Data","Water Use /surface and ground","Surface Water","Cumulative","Year","acre foot","acre-feet/year","2007","158697.5","1","1"
"WaDEData","Utah Data","Water Use /surface and ground","Surface Water","Cumulative","Year","acre foot","acre-feet/year","2008","143903.33","1","1"
"WaDEData","Utah Data","Water Use /surface and ground","Surface Water","Cumulative","Year","acre foot","acre-feet/year","2009","111627.67","1","1"
"WaDEData","Utah Data","Water Use /surface and ground","Surface Water","Cumulative","Year","acre foot","acre-feet/year","2010","127075.57","1","1"
"WaDEData","Utah Data","Water Use /surface and ground","Surface Water","Cumulative","Year","acre foot","acre-feet/year","2011","100419.52","1","1"
"WaDEData","Utah Data","Water Use /surface and ground","Surface Water","Cumulative","Year","acre foot","acre-feet/year","2012","153395.77","1","1"
"WaDEData","Utah Data","Water Use /surface and ground","Surface Water","Cumulative","Year","acre foot","acre-feet/year","2013","154205.93","1","1"
"WaDEData","Utah Data","Water Use /surface and ground","Surface Water","Cumulative","Year","acre foot","acre-feet/year","2014","115942.39","1","1"
