ObjectTypes,InstanceName,ScenarioName, MultiAttributeName,AttributeDataTypeCV,AttributeName,AttributeNameCV,AttributeNameUnitName,Value,ValueOrder
"Reservoir","Hyrum Reservoir","Base case","Total Capacity Table","MultiAttributeSeries","Elevation","Elevation","foot","4602.0","1"
"Reservoir","Hyrum Reservoir","Base case","Total Capacity Table","MultiAttributeSeries","Elevation","Elevation","foot","4602.1","2"
"Reservoir","Hyrum Reservoir","Base case","Total Capacity Table","MultiAttributeSeries","Elevation","Elevation","foot","4602.2","3"
"Reservoir","Hyrum Reservoir","Base case","Total Capacity Table","MultiAttributeSeries","Elevation","Elevation","foot","4602.3","4"
"Reservoir","Hyrum Reservoir","Base case","Total Capacity Table","MultiAttributeSeries","Elevation","Elevation","foot","4602.4","5"
"Reservoir","Hyrum Reservoir","Base case","Total Capacity Table","MultiAttributeSeries","Elevation","Elevation","foot","4602.5","6"
"Reservoir","Hyrum Reservoir","Base case","Total Capacity Table","MultiAttributeSeries","Elevation","Elevation","foot","4602.6","7"
"Reservoir","Hyrum Reservoir","Base case","Total Capacity Table","MultiAttributeSeries","Elevation","Elevation","foot","4602.7","8"
"Reservoir","Hyrum Reservoir","Base case","Total Capacity Table","MultiAttributeSeries","Elevation","Elevation","foot","4602.8","9"
"Reservoir","Hyrum Reservoir","Base case","Total Capacity Table","MultiAttributeSeries","Elevation","Elevation","foot","4602.9","10"
"Reservoir","Hyrum Reservoir","Base case","Total Capacity Table","MultiAttributeSeries","Elevation","Elevation","foot","4603.0","11"
"Reservoir","Hyrum Reservoir","Base case","Total Capacity Table","MultiAttributeSeries","Elevation","Elevation","foot","4603.1","12"
"Reservoir","Hyrum Reservoir","Base case","Total Capacity Table","MultiAttributeSeries","Elevation","Elevation","foot","4603.2","13"
"Reservoir","Hyrum Reservoir","Base case","Total Capacity Table","MultiAttributeSeries","Elevation","Elevation","foot","4603.3","14"
"Reservoir","Hyrum Reservoir","Base case","Total Capacity Table","MultiAttributeSeries","Elevation","Elevation","foot","4603.4","15"
"Reservoir","Hyrum Reservoir","Base case","Total Capacity Table","MultiAttributeSeries","Elevation","Elevation","foot","4603.5","16"
"Reservoir","Hyrum Reservoir","Base case","Total Capacity Table","MultiAttributeSeries","Elevation","Elevation","foot","4603.6","17"
"Reservoir","Hyrum Reservoir","Base case","Total Capacity Table","MultiAttributeSeries","Elevation","Elevation","foot","4603.7","18"
