ElevationAttribute,ElevationUnit,VolumeAttribute,VolumeUnit,VolumeDateTimeStamp,ElevationValue,VolumeValue
"Reservoir Elevation","Feet","Reservoir Storage","Acre feet","2010-01-01","4662.33","10246"
"Reservoir Elevation","Feet","Reservoir Storage","Acre feet","2010-01-02","4662.33","10246"
"Reservoir Elevation","Feet","Reservoir Storage","Acre feet","2010-01-03","4662.35","10254"
"Reservoir Elevation","Feet","Reservoir Storage","Acre feet","2010-01-04","4662.5","10316"
"Reservoir Elevation","Feet","Reservoir Storage","Acre feet","2010-01-05","4662.33","10246"
"Reservoir Elevation","Feet","Reservoir Storage","Acre feet","2010-01-06","4662.33","10246"
"Reservoir Elevation","Feet","Reservoir Storage","Acre feet","2010-01-07","4662.58","10349"
"Reservoir Elevation","Feet","Reservoir Storage","Acre feet","2010-01-08","4662.58","10349"
"Reservoir Elevation","Feet","Reservoir Storage","Acre feet","2010-01-09","4662.52","10324"
"Reservoir Elevation","Feet","Reservoir Storage","Acre feet","2010-01-10","4662.52","10324"
"Reservoir Elevation","Feet","Reservoir Storage","Acre feet","2010-01-11","4662.58","10349"
"Reservoir Elevation","Feet","Reservoir Storage","Acre feet","2010-01-12","4662.52","10324"
"Reservoir Elevation","Feet","Reservoir Storage","Acre feet","2010-01-13","4662.51","10320"
"Reservoir Elevation","Feet","Reservoir Storage","Acre feet","2010-01-14","4662.52","10324"
"Reservoir Elevation","Feet","Reservoir Storage","Acre feet","2010-01-15","4662.52","10324"
"Reservoir Elevation","Feet","Reservoir Storage","Acre feet","2010-01-16","4662.58","10349"
"Reservoir Elevation","Feet","Reservoir Storage","Acre feet","2010-01-17","4662.57","10344"
"Reservoir Elevation","Feet","Reservoir Storage","Acre feet","2010-01-18","4662.5","10316"
"Reservoir Elevation","Feet","Reservoir Storage","Acre feet","2010-01-19","4662.5","10316"
"Reservoir Elevation","Feet","Reservoir Storage","Acre feet","2010-01-20","4662.46","10299"
"Reservoir Elevation","Feet","Reservoir Storage","Acre feet","2010-01-21","4662.35","10254"
"Reservoir Elevation","Feet","Reservoir Storage","Acre feet","2010-01-22","4662.35","10254"
"Reservoir Elevation","Feet","Reservoir Storage","Acre feet","2010-01-23","4662.35","10254"
"Reservoir Elevation","Feet","Reservoir Storage","Acre feet","2010-01-24","4662.5","10316"
"Reservoir Elevation","Feet","Reservoir Storage","Acre feet","2010-01-25","4662.51","10320"
"Reservoir Elevation","Feet","Reservoir Storage","Acre feet","2010-01-26","4662.5","10316"
"Reservoir Elevation","Feet","Reservoir Storage","Acre feet","2010-01-27","4662.52","10324"
"Reservoir Elevation","Feet","Reservoir Storage","Acre feet","2010-01-28","4662.52","10324"
"Reservoir Elevation","Feet","Reservoir Storage","Acre feet","2010-01-29","4662.58","10349"
"Reservoir Elevation","Feet","Reservoir Storage","Acre feet","2010-01-30","4662.52","10324"
"Reservoir Elevation","Feet","Reservoir Storage","Acre feet","2010-01-31","4662.49","10311"
"Reservoir Elevation","Feet","Reservoir Storage","Acre feet","2010-02-01","4662.51","10320"
"Reservoir Elevation","Feet","Reservoir Storage","Acre feet","2010-02-02","4662.52","10324"
"Reservoir Elevation","Feet","Reservoir Storage","Acre feet","2010-02-03","4662.52","10324"
