ElevationAttribute,ElevationUnit,VolumeAttribute,VolumeUnit,VolumeDateTimeStamp,ElevationValue,VolumeValue,ReservoirInflowValue,ReservoirReleaseValue
"Reservoir Elevation","Feet","Reservoir Storage","Acre feet","2010-01-01","4662.33","10246","95.3129","95.3129"
"Reservoir Elevation","Feet","Reservoir Storage","Acre feet","2010-01-02","4662.33","10246","95.3192","95.3192"
"Reservoir Elevation","Feet","Reservoir Storage","Acre feet","2010-01-03","4662.35","10254","100.349","96.3158"
"Reservoir Elevation","Feet","Reservoir Storage","Acre feet","2010-01-04","4662.5","10316","132.565","101.307"
"Reservoir Elevation","Feet","Reservoir Storage","Acre feet","2010-01-05","4662.33","10246","60.0083","95.3"
"Reservoir Elevation","Feet","Reservoir Storage","Acre feet","2010-01-06","4662.33","10246","95.3138","95.3138"
"Reservoir Elevation","Feet","Reservoir Storage","Acre feet","2010-01-07","4662.58","10349","155.227","103.298"
"Reservoir Elevation","Feet","Reservoir Storage","Acre feet","2010-01-08","4662.58","10349","103.275","103.275"
"Reservoir Elevation","Feet","Reservoir Storage","Acre feet","2010-01-09","4662.52","10324","89.6738","102.278"
"Reservoir Elevation","Feet","Reservoir Storage","Acre feet","2010-01-10","4662.52","10324","102.296","102.296"
"Reservoir Elevation","Feet","Reservoir Storage","Acre feet","2010-01-11","4662.58","10349","115.902","103.298"
"Reservoir Elevation","Feet","Reservoir Storage","Acre feet","2010-01-12","4662.52","10324","89.685","102.289"
"Reservoir Elevation","Feet","Reservoir Storage","Acre feet","2010-01-13","4662.51","10320","100.275","102.291"
"Reservoir Elevation","Feet","Reservoir Storage","Acre feet","2010-01-14","4662.52","10324","104.319","102.302"
"Reservoir Elevation","Feet","Reservoir Storage","Acre feet","2010-01-15","4662.52","10324","102.304","102.304"
"Reservoir Elevation","Feet","Reservoir Storage","Acre feet","2010-01-16","4662.58","10349","114.893","102.288"
"Reservoir Elevation","Feet","Reservoir Storage","Acre feet","2010-01-17","4662.57","10344","100.768","103.289"
"Reservoir Elevation","Feet","Reservoir Storage","Acre feet","2010-01-18","4662.5","10316","87.1804","101.297"
"Reservoir Elevation","Feet","Reservoir Storage","Acre feet","2010-01-19","4662.5","10316","101.314","101.314"
"Reservoir Elevation","Feet","Reservoir Storage","Acre feet","2010-01-20","4662.46","10299","91.7475","100.318"
"Reservoir Elevation","Feet","Reservoir Storage","Acre feet","2010-01-21","4662.35","10254","74.3125","97"
"Reservoir Elevation","Feet","Reservoir Storage","Acre feet","2010-01-22","4662.35","10254","96.3204","96.3204"
"Reservoir Elevation","Feet","Reservoir Storage","Acre feet","2010-01-23","4662.35","10254","96.3163","96.3163"
"Reservoir Elevation","Feet","Reservoir Storage","Acre feet","2010-01-24","4662.5","10316","132.572","101.313"
"Reservoir Elevation","Feet","Reservoir Storage","Acre feet","2010-01-25","4662.51","10320","104.321","102.305"
"Reservoir Elevation","Feet","Reservoir Storage","Acre feet","2010-01-26","4662.5","10316","99.2854","101.302"
"Reservoir Elevation","Feet","Reservoir Storage","Acre feet","2010-01-27","4662.52","10324","105.342","101.308"
"Reservoir Elevation","Feet","Reservoir Storage","Acre feet","2010-01-28","4662.52","10324","102.299","102.299"
"Reservoir Elevation","Feet","Reservoir Storage","Acre feet","2010-01-29","4662.58","10349","117.604","105"
"Reservoir Elevation","Feet","Reservoir Storage","Acre feet","2010-01-30","4662.52","10324","89.6867","102.291"
"Reservoir Elevation","Feet","Reservoir Storage","Acre feet","2010-01-31","4662.49","10311","94.7475","101.302"
"Reservoir Elevation","Feet","Reservoir Storage","Acre feet","2010-02-01","4662.51","10320","106.858","102.32"
"Reservoir Elevation","Feet","Reservoir Storage","Acre feet","2010-02-02","4662.52","10324","104.329","102.312"
"Reservoir Elevation","Feet","Reservoir Storage","Acre feet","2010-02-03","4662.52","10324","102.302","102.302"
"Reservoir Elevation","Feet","Reservoir Storage","Acre feet","2010-02-04","4662.52","10324","102.312","102.312"
"Reservoir Elevation","Feet","Reservoir Storage","Acre feet","2010-02-05","4662.35","10254","67.0212","102.313"
"Reservoir Elevation","Feet","Reservoir Storage","Acre feet","2010-02-06","4662.36","10258","104.337","102.32"
"Reservoir Elevation","Feet","Reservoir Storage","Acre feet","2010-02-07","4662.52","10324","137.595","104.32"
"Reservoir Elevation","Feet","Reservoir Storage","Acre feet","2010-02-08","4662.58","10349","116.915","104.311"
"Reservoir Elevation","Feet","Reservoir Storage","Acre feet","2010-02-09","4662.58","10349","102.3","102.3"
"Reservoir Elevation","Feet","Reservoir Storage","Acre feet","2010-02-10","4662.52","10324","89.6925","102.297"
"Reservoir Elevation","Feet","Reservoir Storage","Acre feet","2010-02-11","4662.5","10316","98.2796","102.313"
"Reservoir Elevation","Feet","Reservoir Storage","Acre feet","2010-02-12","4662.35","10254","71.0608","102.319"
