
DatasetAcronym,ScenarioName,LinkInstanceName,LinkObjectType,ObjectTypeCV,StartEndNode,StartInstanceLong,StartLatitude_y,StartNodeObjectType,EndNodeInstance,EndStartInstanceLong,EndLatitude_y,EndNodeObjectType
"WASH","5yr","j29j27","DiversionExist","Diversion","j29","-112.235844","41.73554","v","j27","-112.2379269","41.79277","dem"
"WASH","5yr","j29j28","DiversionExist","Diversion","j29","-112.235844","41.73554","v","j28","-112.2741945","41.79763","dem"
"WASH","5yr","j29j44","DiversionExist","Diversion","j29","-112.235844","41.73554","v","j44","-112.3383952","41.74703","dem"
"WASH","5yr","j42j29","returnFlowExist","Return flow","j42","-112.1981727","41.71406","dem","j29","-112.235844","41.73554","v"
"WASH","5yr","j41j29","returnFlowExist","Return flow","j41","-112.1446913","41.70368","dem","j29","-112.235844","41.73554","v"
"WASH","5yr","j29j24","s","Stream","j29","-112.235844","41.73554","v","j24","-112.3227984","41.85831","j"
"WASH","5yr","j32j29","s","Stream","j32","-112.1974363","41.64299","j","j29","-112.235844","41.73554","v"
"WEAP","UDWR GenRes 2010","Little Bear River from Blacksmith Fork to Hyrum Reservoir Inflow to Hyrum Reservoir","River","Stream","Blacksmith Fork to Hyrum Reservoir Inflow","-111.8576027992468","41.59037786889242","Tributary Inflow","Hyrum Reservoir","-111.8582392180955","41.62219848468212","Reservoir"
"WEAP","UDWR GenRes 2010","Little Bear River from Blacksmith Fork to Hyrum Reservoir Inflow to Hyrum Reservoir","River","Stream","Blacksmith Fork to Hyrum Reservoir Inflow","-111.8576027992468","41.59037786889242","Tributary Inflow","Hyrum Reservoir","-111.8582392180955","41.62219848468212","Dam"
"WEAP","UDWR GenRes 2010","Little Bear River from Hyrum Reservoir to Return Flow Node 4","River","Stream","Hyrum Reservoir","-111.8582392180955","41.62219848468212","Reservoir","Return Flow Node 4","-111.9441202944491","41.7328164520404","Return Flow Node"
"WEAP","UDWR GenRes 2010","Little Bear River from Hyrum Reservoir to Return Flow Node 4","River","Stream","Hyrum Reservoir","-111.8582392180955","41.62219848468212","Dam","Return Flow Node 4","-111.9441202944491","41.7328164520404","Return Flow Node"
"WEAP","UDWR GenRes 2010","Transmission Link from Hyrum Reservoir to South Cache Existing from Hyrum Reservoir to South Cache Existing","Transmission Link","Diversion","Hyrum Reservoir","-111.8582392180955","41.62219848468212","Reservoir","South Cache Existing","-111.8844417901713","41.67925452736371","Demand Site"
"WEAP","UDWR GenRes 2010","Transmission Link from Hyrum Reservoir to South Cache Existing from Hyrum Reservoir to South Cache Existing","Transmission Link","Diversion","Hyrum Reservoir","-111.8582392180955","41.62219848468212","Dam","South Cache Existing","-111.8844417901713","41.67925452736371","Demand Site"
"WEAP","UDWR GenRes 2010","Transmission Link from Hyrum Reservoir to South Cache New from Hyrum Reservoir to South Cache New","Transmission Link","Diversion","Hyrum Reservoir","-111.8582392180955","41.62219848468212","Reservoir","South Cache New","-111.8540375786043","41.67217915301291","Demand Site"
"WEAP","UDWR GenRes 2010","Transmission Link from Hyrum Reservoir to South Cache New from Hyrum Reservoir to South Cache New","Transmission Link","Diversion","Hyrum Reservoir","-111.8582392180955","41.62219848468212","Dam","South Cache New","-111.8540375786043","41.67217915301291","Demand Site"
